,0
141,1.4942305088043213
142,1.5142254829406738
143,1.546628475189209
144,2.0299017429351807
145,1.5407639741897583
146,1.4034442901611328
147,1.2453206777572632
148,1.4126299619674683
149,1.6973110437393188
150,1.563905954360962
151,1.9498226642608643
152,1.5433158874511719
153,1.5672458410263062
154,1.236974835395813
155,1.2528036832809448
156,1.5562593936920166
157,1.267896294593811
158,1.5022273063659668
159,1.485957384109497
160,1.2730251550674438
161,1.585911750793457
162,1.9788520336151123
163,1.601462483406067
164,1.700901985168457
165,1.4897162914276123
166,1.7072230577468872
167,1.7057406902313232
168,1.4322779178619385
169,1.375370979309082
170,1.8652902841567993
171,1.5868496894836426
172,1.3792345523834229
173,1.3674042224884033
174,1.5105688571929932
175,1.5668869018554688
176,1.967827558517456
177,1.3773069381713867
178,1.4959639310836792
179,1.5194867849349976
180,1.207878828048706
181,1.1859774589538574
182,1.7030404806137085
183,1.1930371522903442
184,1.851802945137024
185,1.5041674375534058
186,1.366184115409851
187,1.1978691816329956
188,1.5745031833648682
189,1.5536794662475586
190,1.5097579956054688
191,1.8312585353851318
192,1.5676299333572388
193,1.208870530128479
194,1.3565653562545776
195,1.533772349357605
196,1.7049483060836792
197,1.5452765226364136
198,1.763881802558899
199,1.5393861532211304
200,1.219016432762146
201,1.2167763710021973
202,1.2261512279510498
203,1.2207379341125488
204,1.9081158638000488
205,1.344942331314087
206,1.4853320121765137
207,1.2151563167572021
208,1.6058228015899658
209,1.2016972303390503
210,1.6102755069732666
211,1.2117280960083008
212,1.19935941696167
213,1.195940613746643
214,1.8932918310165405
215,1.7917287349700928
216,1.714966058731079
217,1.440967082977295
218,1.6058201789855957
219,2.2428627014160156
220,1.4542286396026611
221,1.3842955827713013
222,1.4469349384307861
223,1.7790623903274536
224,1.3699685335159302
225,1.2430378198623657
226,1.5971298217773438
227,1.454106092453003
228,1.259671926498413
229,1.4423905611038208
230,1.2509009838104248
231,1.235177755355835
232,1.4427573680877686
233,1.3293808698654175
234,1.4278644323349
235,1.5836690664291382
236,1.586078405380249
237,1.3340338468551636
238,1.3309324979782104
239,1.6462031602859497
240,1.7573392391204834
241,1.3492779731750488
242,1.589970588684082
243,1.4517885446548462
244,1.2160159349441528
245,1.7209974527359009
246,1.359857201576233
247,1.7452075481414795
248,1.3785759210586548
249,1.2251193523406982
250,1.371650218963623
251,2.1761512756347656
252,1.8352844715118408
253,1.4231770038604736
254,1.7375123500823975
255,1.3464174270629883
256,1.7795244455337524
257,1.441823124885559
258,1.8261685371398926
259,1.4569952487945557
260,1.824779748916626
261,1.2362829446792603
262,1.3372619152069092
263,1.6092002391815186
264,1.2329071760177612
265,1.7266677618026733
266,1.4148154258728027
267,1.4276167154312134
268,1.4354257583618164
269,1.3351393938064575
270,1.8090170621871948
271,1.4860283136367798
272,1.4544323682785034
273,1.5812400579452515
274,1.3432146310806274
275,1.7024368047714233
276,1.5914943218231201
277,1.7266650199890137
278,1.2794766426086426
279,1.697105050086975
280,1.3529036045074463
281,1.6764106750488281
282,1.2892707586288452
283,1.2737940549850464
284,1.5058372020721436
285,1.3121811151504517
286,1.2334911823272705
287,1.5760889053344727
288,1.7921720743179321
289,1.2158244848251343
290,1.311456322669983
291,1.3153098821640015
292,1.3228212594985962
293,1.727989912033081
294,2.2961385250091553
295,1.6776814460754395
296,1.7768635749816895
297,1.4449260234832764
298,1.4048354625701904
299,1.4271819591522217
300,1.44706130027771
301,1.2101730108261108
302,1.183427095413208
303,1.2962331771850586
304,1.6291040182113647
305,1.3094990253448486
306,1.3673150539398193
307,1.7059894800186157
308,1.5350900888442993
309,1.288172960281372
310,1.3102167844772339
311,1.294509768486023
312,1.7043533325195312
313,1.6731654405593872
314,1.1685484647750854
315,1.7269983291625977
316,1.7264440059661865
317,1.6773048639297485
318,1.349851369857788
319,1.3737672567367554
320,1.4935293197631836
321,1.1649996042251587
322,1.713746428489685
323,1.862121820449829
324,1.1666339635849
325,1.177661418914795
326,1.1532431840896606
327,1.4759069681167603
328,1.2809025049209595
329,1.7447165250778198
330,1.141862392425537
331,1.6376800537109375
332,1.1515552997589111
333,1.6982272863388062
334,1.1413801908493042
335,1.3625121116638184
336,1.1612513065338135
337,1.7381246089935303
338,1.7447571754455566
339,1.3793154954910278
340,1.25283682346344
341,1.1524463891983032
342,1.080639362335205
343,1.28372323513031
344,1.1778262853622437
345,1.133730173110962
346,1.3856165409088135
347,1.5815922021865845
348,1.4483453035354614
349,1.351624608039856
350,1.3599464893341064
351,1.249037265777588
352,1.247253179550171
353,1.1435595750808716
354,1.7108405828475952
355,1.3670437335968018
356,1.7199299335479736
357,1.133554220199585
358,1.083879828453064
359,1.704322099685669
360,1.2157831192016602
361,1.3245946168899536
362,1.7157986164093018
363,1.245489478111267
364,1.2123324871063232
365,1.2168480157852173
366,1.065944790840149
367,1.3382216691970825
368,1.6396769285202026
369,1.3495153188705444
370,1.224643588066101
371,1.348736047744751
372,1.2061877250671387
373,1.6277459859848022
374,1.6191192865371704
375,1.9001283645629883
376,1.028690218925476
377,1.1891239881515503
378,1.3977510929107666
379,1.357287883758545
380,1.0333791971206665
381,1.2055933475494385
382,1.0353480577468872
383,1.2123883962631226
384,1.6694144010543823
385,1.7042573690414429
386,1.188254952430725
387,1.7443639039993286
388,1.6729273796081543
389,1.7000964879989624
390,1.082131266593933
391,1.4550076723098755
392,1.3104490041732788
393,1.3413922786712646
394,1.260199785232544
395,1.3175829648971558
396,1.2488199472427368
397,1.581200361251831
398,1.3850706815719604
399,1.3763765096664429
400,1.7467730045318604
401,1.0613882541656494
402,1.0700992345809937
403,1.05532968044281
404,1.0150729417800903
405,1.3997066020965576
406,1.2251665592193604
407,1.5825350284576416
408,1.6436407566070557
409,1.324511170387268
410,1.3217843770980835
411,1.0709362030029297
412,1.2273839712142944
413,1.6317708492279053
414,1.6901705265045166
415,1.3515323400497437
416,1.9248729944229126
417,1.5727272033691406
418,1.3266191482543945
419,1.3784887790679932
420,1.0373048782348633
421,1.285658597946167
422,1.2949793338775635
423,1.3777002096176147
424,1.123195767402649
425,1.162894368171692
426,1.6858580112457275
427,1.6750106811523438
428,1.2360427379608154
429,1.1438522338867188
430,1.0100706815719604
431,1.5965396165847778
432,1.700904369354248
433,1.5772632360458374
434,1.1631581783294678
435,1.1630828380584717
436,1.124221682548523
437,1.1947906017303467
438,1.3002973794937134
439,2.895144462585449
440,0.9606987833976746
441,0.9900484085083008
442,1.734727144241333
443,1.551026463508606
444,1.3796606063842773
445,0.9531610608100891
446,1.6857852935791016
447,1.220596432685852
448,1.5694870948791504
449,1.551852822303772
450,1.237592339515686
451,1.1433017253875732
452,1.3914464712142944
453,1.670095682144165
454,1.095071792602539
455,0.9277060627937317
456,1.1995357275009155
457,1.177125096321106
458,0.8650246262550354
459,1.0833227634429932
460,1.0869003534317017
461,0.8743255138397217
462,1.0899896621704102
463,0.8856367468833923
464,1.0167959928512573
465,1.205081582069397
466,1.263465166091919
467,1.6686064004898071
468,1.3149340152740479
469,1.160333275794983
470,1.1496392488479614
471,1.6476573944091797
472,0.887345016002655
473,1.119322657585144
474,1.152469277381897
475,1.4709138870239258
476,1.1158168315887451
477,1.1210628747940063
478,1.7836356163024902
479,0.9050306677818298
480,1.373905897140503
481,1.2443373203277588
482,0.86016845703125
483,1.0412899255752563
484,1.269978642463684
485,0.833672046661377
486,0.8444337248802185
487,0.948744535446167
488,1.1488125324249268
489,1.3700405359268188
490,1.1215975284576416
491,1.2448210716247559
492,4.63133430480957
493,1.091800570487976
494,0.7528100609779358
495,0.7869200110435486
496,1.554128885269165
497,0.913372814655304
498,1.3568551540374756
499,1.4417610168457031
500,0.8854262828826904
501,1.105534553527832
502,1.1471998691558838
503,1.0864434242248535
504,0.6938767433166504
505,0.7284061908721924
506,1.1895684003829956
507,1.394424319267273
508,1.4981926679611206
509,0.9425500631332397
510,1.0954985618591309
511,1.0758951902389526
512,1.1787567138671875
513,1.1003612279891968
514,1.1079083681106567
515,1.7917766571044922
516,0.8704066872596741
517,1.0175080299377441
518,1.0693765878677368
519,1.1554298400878906
520,0.8360244035720825
521,1.9173686504364014
522,1.327181339263916
523,1.1898341178894043
524,1.1854380369186401
